Gene,Gene Set Name,Category
LOC_Os10g06720,Glycolysis / Gluconeogenesis,KEGG
LOC_Os10g07229,Glycolysis / Gluconeogenesis,KEGG
LOC_Os10g08550,Glycolysis / Gluconeogenesis,KEGG
LOC_Os10g11140,Glycolysis / Gluconeogenesis,KEGG
LOC_Os10g13700,Glycolysis / Gluconeogenesis,KEGG
LOC_Os10g26570,Glycolysis / Gluconeogenesis,KEGG
LOC_Os10g42100,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g04320,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g05110,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g05260,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g07020,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g08300,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g10480,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g10510,Glycolysis / Gluconeogenesis,KEGG
LOC_Os11g10520,Glycolysis / Gluconeogenesis,KEGG
LOC_Os12g05110,Glycolysis / Gluconeogenesis,KEGG
LOC_Os12g08170,Glycolysis / Gluconeogenesis,KEGG
LOC_Os12g42230,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g58610,Glycolysis / Gluconeogenesis,KEGG
LOC_Os08g37140,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g46610,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g16900,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g19450,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g46070,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g23610,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g22520,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g14580,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g61380,Citrate Cycle (Tca Cycle),KEGG
LOC_Os02g01500,Citrate Cycle (Tca Cycle),KEGG
LOC_Os02g10070,Citrate Cycle (Tca Cycle),KEGG
LOC_Os02g13840,Citrate Cycle (Tca Cycle),KEGG
LOC_Os02g38200,Citrate Cycle (Tca Cycle),KEGG
LOC_Os02g40830,Citrate Cycle (Tca Cycle),KEGG
LOC_Os02g50620,Citrate Cycle (Tca Cycle),KEGG
LOC_Os03g04410,Citrate Cycle (Tca Cycle),KEGG
LOC_Os03g15050,Citrate Cycle (Tca Cycle),KEGG
LOC_Os03g21950,Citrate Cycle (Tca Cycle),KEGG
LOC_Os03g44300,Citrate Cycle (Tca Cycle),KEGG
LOC_Os03g56280,Citrate Cycle (Tca Cycle),KEGG
LOC_Os04g02900,Citrate Cycle (Tca Cycle),KEGG
LOC_Os04g32020,Citrate Cycle (Tca Cycle),KEGG
LOC_Os04g32330,Citrate Cycle (Tca Cycle),KEGG
LOC_Os04g40310,Citrate Cycle (Tca Cycle),KEGG
LOC_Os04g42920,Citrate Cycle (Tca Cycle),KEGG
LOC_Os04g46560,Citrate Cycle (Tca Cycle),KEGG
LOC_Os05g06460,Citrate Cycle (Tca Cycle),KEGG
LOC_Os05g49760,Citrate Cycle (Tca Cycle),KEGG
LOC_Os05g49880,Citrate Cycle (Tca Cycle),KEGG
LOC_Os06g01630,Citrate Cycle (Tca Cycle),KEGG
LOC_Os06g13720,Citrate Cycle (Tca Cycle),KEGG
LOC_Os06g19960,Citrate Cycle (Tca Cycle),KEGG
LOC_Os06g30460,Citrate Cycle (Tca Cycle),KEGG
LOC_Os07g04240,Citrate Cycle (Tca Cycle),KEGG
LOC_Os07g22720,Citrate Cycle (Tca Cycle),KEGG
LOC_Os07g38970,Citrate Cycle (Tca Cycle),KEGG
LOC_Os07g43700,Citrate Cycle (Tca Cycle),KEGG
LOC_Os07g49520,Citrate Cycle (Tca Cycle),KEGG
LOC_Os08g02640,Citrate Cycle (Tca Cycle),KEGG
LOC_Os08g33720,Citrate Cycle (Tca Cycle),KEGG
LOC_Os08g42410,Citrate Cycle (Tca Cycle),KEGG
LOC_Os09g20440,Citrate Cycle (Tca Cycle),KEGG
LOC_Os09g33500,Citrate Cycle (Tca Cycle),KEGG
LOC_Os10g13700,Citrate Cycle (Tca Cycle),KEGG
LOC_Os10g33800,Citrate Cycle (Tca Cycle),KEGG
LOC_Os11g33240,Citrate Cycle (Tca Cycle),KEGG
