ID,ACC
Os.10969.1.S1_at,Os.10969.1.S1_at
Os.10981.1.S1_at,Os.10981.1.S1_at
Os.10983.1.S1_at,Os.10983.1.S1_at
Os.10989.2.S1_at,Os.10989.2.S1_at
Os.11008.1.S1_at,Os.11008.1.S1_at
Os.11016.1.S1_x_at,Os.11016.1.S1_x_at
Os.11039.1.S1_s_at,Os.11039.1.S1_s_at
Os.11039.2.S1_x_at,Os.11039.2.S1_x_at
Os.11066.1.S1_at,Os.11066.1.S1_at
Os.11080.1.S1_at,Os.11080.1.S1_at
Os.11096.1.S1_at,Os.11096.1.S1_at
Os.11099.2.S1_x_at,Os.11099.2.S1_x_at
Os.11120.1.S1_at,Os.11120.1.S1_at
Os.11128.1.S1_at,Os.11128.1.S1_at
Os.11154.1.S1_a_at,Os.11154.1.S1_a_at
Os.11154.2.S1_x_at,Os.11154.2.S1_x_at
Os.11155.1.S1_at,Os.11155.1.S1_at
Os.11168.1.S1_at,Os.11168.1.S1_at
Os.11169.1.S1_a_at,Os.11169.1.S1_a_at
Os.11176.1.S1_at,Os.11176.1.S1_at
Os.11187.1.S1_at,Os.11187.1.S1_at
Os.11189.2.S1_at,Os.11189.2.S1_at
Os.11190.1.S1_at,Os.11190.1.S1_at
Os.11190.1.S1_s_at,Os.11190.1.S1_s_at
Os.11212.1.S1_at,Os.11212.1.S1_at
Os.11220.1.S1_at,Os.11220.1.S1_at
Os.11231.1.S1_at,Os.11231.1.S1_at
Os.11234.1.S1_at,Os.11234.1.S1_at
Os.11234.1.S1_x_at,Os.11234.1.S1_x_at
Os.11239.1.S1_at,Os.11239.1.S1_at
Os.11244.1.S1_at,Os.11244.1.S1_at
Os.11244.1.S1_x_at,Os.11244.1.S1_x_at
Os.11252.1.S1_at,Os.11252.1.S1_at
Os.11260.1.S1_at,Os.11260.1.S1_at
Os.11271.1.S1_a_at,Os.11271.1.S1_a_at
Os.11271.2.S1_at,Os.11271.2.S1_at
Os.11277.1.S1_at,Os.11277.1.S1_at
Os.11300.1.S2_at,Os.11300.1.S2_at
Os.11303.1.S1_s_at,Os.11303.1.S1_s_at
Os.11303.2.S1_at,Os.11303.2.S1_at
Os.11309.1.S1_x_at,Os.11309.1.S1_x_at
Os.1131.2.S1_x_at,Os.1131.2.S1_x_at
Os.11315.1.S1_at,Os.11315.1.S1_at
Os.11321.1.S1_at,Os.11321.1.S1_at
Os.11326.1.S1_at,Os.11326.1.S1_at
Os.11330.1.S2_at,Os.11330.1.S2_at
Os.11333.1.S1_s_at,Os.11333.1.S1_s_at
Os.11337.1.S1_at,Os.11337.1.S1_at
Os.11343.1.S1_at,Os.11343.1.S1_at
Os.11347.1.S1_at,Os.11347.1.S1_at
Os.11349.1.S1_at,Os.11349.1.S1_at
Os.11354.1.S1_at,Os.11354.1.S1_at
Os.11363.1.S1_at,Os.11363.1.S1_at
Os.11368.1.S1_at,Os.11368.1.S1_at
Os.11369.1.S1_x_at,Os.11369.1.S1_x_at
Os.11371.1.S1_at,Os.11371.1.S1_at
Os.11373.1.S1_at,Os.11373.1.S1_at
Os.11380.2.S1_at,Os.11380.2.S1_at
Os.11383.1.S1_a_at,Os.11383.1.S1_a_at
Os.11391.1.S1_at,Os.11391.1.S1_at
Os.11392.1.A1_at,Os.11392.1.A1_at
Os.11398.1.S1_at,Os.11398.1.S1_at
Os.11411.2.S1_a_at,Os.11411.2.S1_a_at
Os.11414.1.S1_at,Os.11414.1.S1_at
Os.11431.2.S1_at,Os.11431.2.S1_at
Os.11443.1.S1_a_at,Os.11443.1.S1_a_at
Os.11445.1.S1_at,Os.11445.1.S1_at
Os.11453.1.S1_x_at,Os.11453.1.S1_x_at
Os.11454.1.S1_x_at,Os.11454.1.S1_x_at
Os.1147.1.A1_at,Os.1147.1.A1_at
Os.11471.1.S1_at,Os.11471.1.S1_at
Os.11475.1.S1_a_at,Os.11475.1.S1_a_at
Os.11476.1.S1_at,Os.11476.1.S1_at
Os.11477.1.S1_at,Os.11477.1.S1_at
Os.1151.2.S1_at,Os.1151.2.S1_at
Os.11510.1.S1_at,Os.11510.1.S1_at
Os.11510.1.S1_s_at,Os.11510.1.S1_s_at
Os.11513.1.S1_at,Os.11513.1.S1_at
Os.11522.2.S1_at,Os.11522.2.S1_at
Os.11526.1.S2_at,Os.11526.1.S2_at
Os.1153.1.S1_at,Os.1153.1.S1_at
Os.11538.1.S1_at,Os.11538.1.S1_at
Os.11546.1.S1_at,Os.11546.1.S1_at
Os.11548.1.S1_at,Os.11548.1.S1_at
Os.11550.1.S1_at,Os.11550.1.S1_at
Os.11551.1.S1_at,Os.11551.1.S1_at
Os.11553.1.S1_at,Os.11553.1.S1_at
Os.11555.1.S1_at,Os.11555.1.S1_at
Os.11556.1.S1_at,Os.11556.1.S1_at
Os.11558.1.S1_at,Os.11558.1.S1_at
Os.11559.1.S1_at,Os.11559.1.S1_at
Os.11561.2.S1_a_at,Os.11561.2.S1_a_at
Os.11563.1.S1_at,Os.11563.1.S1_at
Os.11568.1.S1_at,Os.11568.1.S1_at
Os.11570.1.S1_at,Os.11570.1.S1_at
Os.11573.2.A2_a_at,Os.11573.2.A2_a_at
Os.11584.1.S1_at,Os.11584.1.S1_at
Os.11596.1.S1_at,Os.11596.1.S1_at
Os.11612.1.S1_at,Os.11612.1.S1_at
Os.11641.1.S1_at,Os.11641.1.S1_at
Os.11651.1.S1_at,Os.11651.1.S1_at
Os.11661.1.S1_a_at,Os.11661.1.S1_a_at
Os.11678.1.S1_at,Os.11678.1.S1_at
Os.11681.1.S1_at,Os.11681.1.S1_at
Os.11685.1.S1_at,Os.11685.1.S1_at
Os.11713.3.S1_at,Os.11713.3.S1_at
Os.11762.1.S1_x_at,Os.11762.1.S1_x_at
Os.11762.1.S2_x_at,Os.11762.1.S2_x_at
Os.11775.1.S1_a_at,Os.11775.1.S1_a_at
Os.11775.2.S1_at,Os.11775.2.S1_at
Os.11785.1.S1_at,Os.11785.1.S1_at
Os.11798.1.S1_at,Os.11798.1.S1_at
Os.11812.1.S1_at,Os.11812.1.S1_at
Os.11829.1.S1_at,Os.11829.1.S1_at
Os.11831.1.S1_at,Os.11831.1.S1_at
Os.11832.1.S1_at,Os.11832.1.S1_at
Os.11836.1.S1_at,Os.11836.1.S1_at
Os.11862.2.S1_at,Os.11862.2.S1_at
Os.11863.3.S1_at,Os.11863.3.S1_at
Os.11881.1.S1_at,Os.11881.1.S1_at
Os.11890.1.S1_at,Os.11890.1.S1_at
Os.11892.1.S1_at,Os.11892.1.S1_at
Os.11905.1.S1_at,Os.11905.1.S1_at
Os.11905.2.S1_at,Os.11905.2.S1_at
Os.11905.2.S1_x_at,Os.11905.2.S1_x_at
Os.11906.1.S1_at,Os.11906.1.S1_at
Os.11910.1.S1_at,Os.11910.1.S1_at
Os.11958.1.S1_at,Os.11958.1.S1_at
Os.11962.2.A1_at,Os.11962.2.A1_at
Os.11986.1.S1_at,Os.11986.1.S1_at
Os.11987.2.A1_at,Os.11987.2.A1_at
Os.11989.1.S1_at,Os.11989.1.S1_at
Os.12002.1.S1_a_at,Os.12002.1.S1_a_at
Os.12003.1.S1_at,Os.12003.1.S1_at
Os.12008.2.S1_at,Os.12008.2.S1_at
Os.12013.2.A1_at,Os.12013.2.A1_at
Os.12027.1.S1_a_at,Os.12027.1.S1_a_at
Os.12028.1.S1_x_at,Os.12028.1.S1_x_at
Os.1205.1.S1_at,Os.1205.1.S1_at
Os.12062.2.S1_at,Os.12062.2.S1_at
Os.12089.1.S1_at,Os.12089.1.S1_at
Os.12126.1.S1_at,Os.12126.1.S1_at
Os.12138.1.A1_at,Os.12138.1.A1_at
Os.12149.1.S1_at,Os.12149.1.S1_at
Os.12156.1.S1_at,Os.12156.1.S1_at
Os.12163.1.S1_at,Os.12163.1.S1_at
Os.12198.2.S1_x_at,Os.12198.2.S1_x_at
Os.12200.1.S1_s_at,Os.12200.1.S1_s_at
Os.12201.2.S1_at,Os.12201.2.S1_at
Os.12207.1.S1_at,Os.12207.1.S1_at
Os.12211.1.S1_at,Os.12211.1.S1_at
Os.12216.2.S1_a_at,Os.12216.2.S1_a_at
Os.12220.1.S1_at,Os.12220.1.S1_at
Os.12221.1.S1_at,Os.12221.1.S1_at
Os.12234.1.S1_s_at,Os.12234.1.S1_s_at
Os.12251.1.S1_at,Os.12251.1.S1_at
Os.12253.1.S1_at,Os.12253.1.S1_at
Os.12269.1.S1_at,Os.12269.1.S1_at
Os.12271.1.S1_at,Os.12271.1.S1_at
Os.12273.1.S1_at,Os.12273.1.S1_at
Os.12275.1.S1_at,Os.12275.1.S1_at
Os.12275.2.S1_at,Os.12275.2.S1_at
Os.12282.1.S1_a_at,Os.12282.1.S1_a_at
Os.12287.2.S1_at,Os.12287.2.S1_at
Os.1229.2.S1_at,Os.1229.2.S1_at
Os.12293.2.S1_at,Os.12293.2.S1_at
Os.12301.1.S1_at,Os.12301.1.S1_at
Os.12306.1.S1_at,Os.12306.1.S1_at
Os.12308.2.A1_at,Os.12308.2.A1_at
Os.12309.1.S1_at,Os.12309.1.S1_at
Os.12309.1.S1_s_at,Os.12309.1.S1_s_at
Os.12317.1.S1_at,Os.12317.1.S1_at
Os.12321.1.S1_at,Os.12321.1.S1_at
Os.12323.1.S1_a_at,Os.12323.1.S1_a_at
Os.12323.1.S1_at,Os.12323.1.S1_at
Os.12324.1.S1_at,Os.12324.1.S1_at
Os.12345.1.S1_at,Os.12345.1.S1_at
Os.12345.1.S1_s_at,Os.12345.1.S1_s_at
Os.12346.1.S1_at,Os.12346.1.S1_at
Os.12350.1.S1_s_at,Os.12350.1.S1_s_at
Os.12365.2.S1_at,Os.12365.2.S1_at
Os.12365.3.S1_x_at,Os.12365.3.S1_x_at
Os.12365.4.S1_x_at,Os.12365.4.S1_x_at
Os.12384.1.S1_at,Os.12384.1.S1_at
Os.12387.1.S1_at,Os.12387.1.S1_at
Os.12398.1.A1_at,Os.12398.1.A1_at
Os.12410.2.S1_at,Os.12410.2.S1_at
Os.12411.1.S1_at,Os.12411.1.S1_at
Os.12412.1.S1_at,Os.12412.1.S1_at
Os.12419.1.S1_at,Os.12419.1.S1_at
Os.12420.3.S1_at,Os.12420.3.S1_at
Os.12427.1.S2_at,Os.12427.1.S2_at
Os.12430.1.S1_at,Os.12430.1.S1_at
Os.12498.1.S1_at,Os.12498.1.S1_at
Os.12498.2.S1_at,Os.12498.2.S1_at
Os.12551.1.S1_s_at,Os.12551.1.S1_s_at
Os.12583.3.S1_x_at,Os.12583.3.S1_x_at
Os.12593.1.S1_s_at,Os.12593.1.S1_s_at
Os.12639.1.A1_at,Os.12639.1.A1_at
Os.12654.1.S1_at,Os.12654.1.S1_at
Os.12657.1.S1_at,Os.12657.1.S1_at
Os.12658.1.S1_at,Os.12658.1.S1_at
Os.12660.1.S1_at,Os.12660.1.S1_at
Os.12691.2.S1_a_at,Os.12691.2.S1_a_at
Os.12697.1.S1_at,Os.12697.1.S1_at
Os.12698.1.S1_at,Os.12698.1.S1_at
Os.12719.1.S1_at,Os.12719.1.S1_at
Os.12733.1.S1_at,Os.12733.1.S1_at
